id,ime
153394,Suzanne Collins
1265,Jane Austen
1825,Harper Lee
1077326,J.K. Rowling
11466,Markus Zusak
941441,Stephenie Meyer
3706,George Orwell
656983,J.R.R. Tolkien
1069006,C.S. Lewis
1406384,John Green
3565,Oscar Wilde
15872,Rick Riordan
4191,Emily Brontë
435477,Shel Silverstein
12898,Stephen Chbosky
11081,Margaret Mitchell
1020792,Antoine de Saint-Exupéry
1036615,Charlotte Brontë
3190,F. Scott Fitzgerald
3137322,Fyodor Dostoevsky
630,Dan Brown
8164,Lewis Carroll
4039811,Veronica Roth
13661,Victor Hugo
614,Arthur Golden
5350,L.M. Montgomery
566,Paulo Coelho
306,William Golding
947,William Shakespeare
3487,Aldous Huxley
4,Douglas Adams
150038,Cassandra Clare
1943477,Kathryn Stockett
6988,Bram Stoker
1630,Ray Bradbury
988142,E.B. White
585,John Steinbeck
589,Orson Scott Card
819789,J.D. Salinger
1315,Louisa May Alcott
762707,S.E. Hinton
13450,Gabriel García Márquez
569,Khaled Hosseini
2041,Frances Hodgson Burnett
12521,William Goldman
346732,George R.R. Martin
498072,Audrey Niffenegger
11139,Mary Wollstonecraft Shelley
903,Homer
706255,Stieg Larsson
3472,Margaret Atwood
2493,Lois Lowry
106,Madeleine L'Engle
58,Frank Herbert
4489,Maurice Sendak
61105,Dr. Seuss
316,Alice Sebold
1244,Mark Twain
811,Yann Martel
5152,Vladimir Nabokov
239579,Charles Dickens
2778055,Kurt Vonnegut Jr.
4379,Sylvia Plath
4273,Roald Dahl
24556,Sara Gruen
3389,Stephen King
3167,Joseph Heller
2448,Arthur Conan Doyle
5735,Anthony Burgess
3447,Ken Follett
2001717,Daphne du Maurier
7717,Richard Adams
7380,Alice Walker
3617,Diana Gabaldon
4346642,R.D. Ronald
128382,Leo Tolstoy
7285,Ken Kesey
7128,Jodi Picoult
2327917,Betty Smith
4178,Cormac McCarthy
2383,Gillian Flynn
3618,Philip Pullman
123715,Agatha Christie
1113469,Hermann Hesse
137902,Richelle Mead
4037220,Miguel de Cervantes Saavedra
3347,Frank McCourt
1455,Ernest Hemingway
957894,Albert Camus
3541,Barbara Kingsolver
4624490,Edgar Allan Poe
10289,Dennis Lehane
7577,Anne Rice
432,Ayn Rand
81466,A.A. Milne
2345,Nicholas Sparks
39402,Patrick Süskind
13552262,Sergio Cobo
2546,Chuck Palahniuk
8719,Donna Tartt
1624,Herman Melville
3075,John Irving
5223,Franz Kafka
1063732,Paula Hawkins
4711,Sue Monk Kidd
108424,Patrick Rothfuss
626222,Anita Diamant
12455,Thomas Harris
3873,Mikhail Bulgakov
7244758,Freida McFadden
4785,Alexandre Dumas
93504,Lisa Jewell
4470653,S.J. Watson
322069,Liane Moriarty
7770523,Lucy Foley
202260,Caroline Kepnes
15263414,Riley Sager
7992137,A.J. Finn
9013543,Ruth Ware
12504,Karin Slaughter
8349,Christopher Paolini
3362,Eric Carle
1612,Jeffery Deaver
1278320,Shari Lapena
14425604,B.A. Paris
8475510,Taylor Adams
2672,Laura Dave
4575289,Leigh Bardugo
21408101,Stacy Willingham
1467,Jeffrey Eugenides
815,Carlos Ruiz Zafón
2331,Mitch Albom
1050,Mark Haddon
6569,Louis Sachar
6343,Milan Kundera
1730,Umberto Eco
