id_filma,zanr
0043014,Dark Comedy
0043014,Film Noir
0043014,Psychological Drama
0043014,Showbiz Drama
0043014,Tragedy
0043014,Drama
0042192,Showbiz Drama
0042192,Drama
0042876,Period Drama
0042876,Crime
0042876,Drama
0042876,Mystery
0042546,Screwball Comedy
0042546,Comedy
0042546,Drama
0042546,Fantasy
0042646,Adventure Epic
0042646,Jungle Adventure
0042646,Quest
0042646,Steamy Romance
0042646,Survival
0042646,Action
0042646,Adventure
0042646,Romance
0042276,Farce
0042276,Satire
0042276,Comedy
0042276,Drama
0042276,Romance
0042367,Swashbuckler
0042367,Adventure
0042367,Drama
0042367,Romance
0042832,Film Noir
0042832,Crime
0042832,Drama
0042832,Thriller
0042200,Classic Musical
0042200,Comedy
0042200,Musical
0042200,Romance
0042200,Western
0042393,Space Sci-Fi
0042393,Adventure
0042393,Drama
0042393,Sci-Fi
0042393,Thriller
0042949,Drama
0042949,Thriller
0042650,Documentary
0043581,Animation
0043581,Comedy
0043581,Family
0043581,Short
0042592,Documentary
0042592,Family
0042592,Short
0043050,Documentary
0041130,Short
0042518,Documentary
0042518,Short
0042518,Sport
0044081,Tragedy
0044081,Drama
0043265,Jungle Adventure
0043265,Adventure
0043265,Drama
0043265,Romance
0043265,War
0043278,Classic Musical
0043278,Jukebox Musical
0043278,Drama
0043278,Musical
0043278,Romance
0043924,Tragedy
0043924,Drama
0043924,Romance
0044829,Buddy Comedy
0044829,Caper
0044829,Comedy
0044829,Crime
0044207,Space Sci-Fi
0044207,Action
0044207,Sci-Fi
0044207,Thriller
0043599,Biography
0043599,Drama
0043599,Music
0043599,Mystery
0043599,Romance
0043633,Romantic Comedy
0043633,Comedy
0043633,Musical
0043633,Romance
0043334,Drama
0043334,Short
0043839,Documentary
0043839,Family
0043839,Short
0044218,Documentary
0044218,Short
0043135,Documentary
0043135,Short
0044706,Classical Western
0044706,Drama
0044706,Thriller
0044706,Western
0045061,Romantic Comedy
0045061,Comedy
0045061,Drama
0045061,Romance
0044672,Showbiz Drama
0044672,Drama
0044672,Family
0044672,Romance
0043686,Drama
0043686,War
0044391,Psychological Drama
0044391,Showbiz Drama
0044391,Drama
0044391,Romance
0044837,Drama
0044837,Music
0044837,Romance
0045296,Biography
0045296,Drama
0045296,History
0045296,Western
0044926,Period Drama
0044926,Tragic Romance
0044926,Biography
0044926,Drama
0044926,Music
0044926,Romance
0044509,Drama
0044509,Romance
0044446,Adventure
0044446,Drama
0044446,Romance
0044446,War
0045333,Biography
0045333,Drama
0045333,Music
0045333,Musical
0045039,Costume Drama
0045039,Dark Romance
0045039,Period Drama
0045039,Political Drama
0045039,Quest
0045039,Sea Adventure
0045039,Adventure
0045039,Drama
0045039,History
0044958,Stop Motion Animation
0044958,Animation
0044958,Comedy
0044958,Short
0044157,Animation
0044157,Comedy
0044157,Family
0044157,Short
0045314,Documentary
0045314,Family
0045314,Short
0044836,History
0044836,Short
0046250,Romantic Comedy
0046250,Comedy
0046250,Drama
0046250,Romance
0045793,Period Drama
0045793,Tragedy
0045793,Drama
0045793,Romance
0045793,War
0046303,Classical Western
0046303,Drama
0046303,Western
0046534,Alien Invasion
0046534,Sci-Fi Epic
0046534,Action
0046534,Sci-Fi
0046534,Thriller
0046359,Dark Comedy
0046359,Satire
0046359,Comedy
0046359,Drama
0046359,War
0046247,Epic
0046247,Period Drama
0046247,Political Drama
0046247,Sword &amp; Sandal
0046247,Drama
0046247,History
0046247,Romance
0045591,Classic Musical
0045591,Musical
