id,naslov,ocena,cas,leto,oznaka,opis,cena,zasluzek
0043014,Sunset Boulevard,8.4,110,1950,Approved,A screenwriter develops a dangerous relationship with a faded film star determined to make a triumphant return.,1752000,310112
0042192,Vse o Evi,8.2,138,1950,Approved,A seemingly timid but secretly ruthless ingénue insinuates herself into the lives of an aging Broadway star and her circle of theater friends.,1400000,154736
0042876,V gozdu,8.2,88,1950,Not Rated,"The rape of a bride and the murder of her samurai husband are recalled from the perspectives of a bandit, the bride, the samurai&apos;s ghost and a woodcutter.",250000,139819
0042546,Harvey,7.9,104,1950,Approved,"A whimsical man is thought to be insane due to his insistence that he is best friends with an invisible, humanoid rabbit, but he may be wiser than anyone knows.",,877
0042646,King Solomon&#x27;s Mines,6.7,103,1950,Approved,Adventurer Allan Quartermain leads an expedition into uncharted African territory in an attempt to locate an explorer who went missing during his search for the fabled diamond mines of King Solomon.,2258000,951
0042276,Born Yesterday,7.5,103,1950,Approved,"While in Washington to lobby for favorable legislation, a garbage tycoon hires a reporter to teach his ex-showgirl mistress proper etiquette to better fit in with high society, but she ends up learning more than he bargained for.",,12000000
0042367,Cyrano de Bergerac,7.4,113,1950,Approved,"The charismatic swordsman-poet and provocateur in 1640s Paris helps a young guardsman woo the woman he loves, complicated by the politics of the nobility and the war with Spain.",400000,
0042832,Panic in the Streets,7.2,96,1950,Approved,A doctor and a policeman in New Orleans have only 48 hours to locate a killer infected with pneumonic plague.,1400000,43
0042200,Annie Get Your Gun,6.8,107,1950,Approved,"The story of the great sharpshooter Annie Oakley, who rose to fame while dealing with her love/professional rival, Frank Butler.",3768785,
0042393,Destination Moon,6.3,92,1950,Approved,"&quot;Destination Moon&quot;, tells the tale of when Doctor Charles Cargraves and retired General Thayer approach Jim Barnes, the head of his own aviation construction firms to help build a rocket that will take them to the moon.",592000,
0042949,Seven Days to Noon,7.0,94,1950,Not Rated,"When a scientist threatens to detonate a powerful bomb in the heart of London, Scotland Yard has just seven days to find him before it is too late.",,
0042650,Kon-Tiki,7.9,77,1950,Approved,A documentary about the Kon-Tiki expedition of the Norwegian explorer Thor Heyerdahl.,,
0043581,Gerald McBoing-Boing,7.1,8,1950,Approved,The story of a little boy who would only talk in sound effects.,,
0042592,Beaver Valley,6.9,32,1950,Approved,"Get a glimpse of &quot;nature&apos;s own engineer&quot; hard at work. A young male beaver must defend his new family against hungry predators, mischievous river otters and the ever-impending threat of winter.",,
0043050,The Titan: Story of Michelangelo,6.5,70,1950,Not Rated,"The story follows Michelangelo&apos;s life, career, and renowned artworks from his early works to lasting fame, showcasing detailed looks at his most celebrated creations against the backdrop of his era.",,
0041130,Aquatic House Party,5.2,9,1950,,This short is about a visionary indoor/outdoor combo swimming pool in a California home that is equipped with cutting edge modern mid-20th century features.,,
0042518,Grandad of Races,5.7,9,1950,Approved,"The annual horse race held in the Piazza del Campo in Siena is highlighted in all its color, pomp, and pageantry.",,
0044081,Tramvaj Pozelenje,7.9,122,1951,Approved,Disturbed Blanche DuBois moves in with her sister in New Orleans and is tormented by her brutish brother-in-law while her reality crumbles around her.,1800000,54695
0043265,The African Queen,7.7,105,1951,PG,"In WWI East Africa, a gin-swilling Canadian riverboat captain is persuaded by a strait-laced English missionary to undertake a trip up a treacherous river and use his boat to attack a German gunship.",1000000,46305
0043278,Amerikanec v Parizu,7.1,114,1951,Approved,Three friends struggle to find work in Paris. Things become more complicated when two of them fall in love with the same woman.,2723903,275077
0043924,A Place in the Sun,7.7,122,1951,Approved,A poor boy gets a job working for his rich uncle and ends up falling in love with two women.,2295304,748
0044829,The Lavender Hill Mob,7.5,78,1951,Approved,A meek bank clerk who oversees the shipment of bullion joins with an eccentric neighbor to steal gold bars and smuggle them out of the country as miniature Eiffel Towers.,,32232
0044207,Ko trčijo svetovi,6.6,83,1951,G,"As a new star and planet hurtle toward a doomed Earth, a small group of survivalists frantically work to complete the rocket which will take them to their new home.",936000,
0043599,The Great Caruso,6.5,109,1951,Approved,"The film explores the life of tenor Enrico Caruso, a vocalist who faces rejection from Musetta and Dorothy, and struggles to find acceptance in New York.",,
0043633,Here Comes the Groom,6.3,113,1951,Approved,"Foreign correspondent Pete Garvey has 5 days to win back his former fiancée, or he&apos;ll lose the orphans he adopted.",2117000,
0043334,Benjy,6.9,31,1951,,"An orthopedic pediatrician wants to cure a scoliosis patient, but first he needs to convince the parents, who have rejected the child because of his disabilities.",,
0043839,Nature&#x27;s Half Acre,7.0,33,1951,Approved,"The strange and wonderful world that lies beneath our feet, under leaf, log and rock, peopled by millions of weird and fascinating creatures.",,
0044218,World of Kids,4.5,10,1951,,Youngsters demonstrate their skill at a variety of sports.,,
0043135,Why Korea?,5.2,30,1951,,"This film examines the reasons why the United States decided to engage in the Korean War. Scenes describe Russia&apos;s attempt to gain power following World War II (Korea included), and its refusal to allow free elections in the count...",,
0044706,Točno opoldne,7.9,85,1952,PG,"A town Marshal, despite the disagreements of his newlywed bride and the townspeople around him, must face a gang of deadly killers alone at &quot;high noon&quot; when the gang leader, an outlaw he &quot;sent up&quot; years ago, arrives on the noon tr...",730000,217
0045061,Mirni moz,7.7,129,1952,Approved,"A retired American boxer returns to the village of his birth in 1920s Ireland, where he falls for a spirited redhead whose brother is contemptuous of their union.",1750000,
0044672,The Greatest Show on Earth,6.5,152,1952,Approved,"The dramatic lives of trapeze artists, a clown, and an elephant trainer are told against a background of circus spectacle.",4000000,36000000
0043686,Jeux interdits,8.0,86,1952,Not Rated,"A young French girl orphaned in a German air attack is befriended by the son of a poor farmer, and together they try to come to terms with the realities of death.",,25512
0044391,The Bad and the Beautiful,7.7,118,1952,Approved,"An unscrupulous movie producer uses an actress, a director and a writer to achieve success.",1558000,2025
0044837,Odrske luči,8.0,137,1952,G,A fading comedian and a suicidally despondent ballet dancer must look to each other to find purpose and hope in their lives.,,9291
0045296,Viva Zapata!,7.2,113,1952,Approved,"The story of Mexican revolutionary Emiliano Zapata, who led a rebellion against the corrupt, oppressive dictatorship of President Porfirio Díaz in the early 20th century.",1800000,
0044926,Moulin Rouge,7.0,119,1952,Approved,Fictional account of French artist Henri de Toulouse-Lautrec.,1500000,3188
0044509,"Come Back, Little Sheba",7.5,99,1952,Approved,"An emotionally remote recovering alcoholic and his dowdy, unambitious wife face a personal crisis when they take in an attractive lodger.",,
0044446,The Sound Barrier,6.7,118,1952,Approved,Fictionalized story of British aerospace engineers solving the problem of supersonic flight.,250000,
0045333,With a Song in My Heart,6.7,117,1952,Approved,A talented singer&apos;s musical career begins to soar.,,
0045039,Plymouth Adventure,6.2,105,1952,Approved,"Trials and tribulations beset the one hundred odd settlers that journey to Virginia in 1620 including unexpectedly arriving in Plymouth, Massachusetts.",3185000,
0044958,Neighbours,7.9,8,1952,Not Rated,A surreal story of two neighbours&apos; destructive feud over a flower.,,
0044157,The Two Mouseketeers,7.5,8,1952,Approved,"This Tom and Jerry cartoon is set in 17th century France. Tom, who is a soldier in the King&apos;s castle, is assigned to guard the food laid out on a banquet table. Jerry and a smaller mouse companion, two wandering &quot;mouseketeers,&quot; ma...",,
0045314,Water Birds,6.6,30,1952,Approved,"From the still waters of lagoons and marshes to the wild blue wilderness of the vast oceans, experience the beauty and variety of these majestic birds, each perfectly designed for its habitat.",,
0044836,Light in the Window,5.4,10,1952,Approved,An innovative profile of the painter Johannes Vermeer.,,
0046250,Rimske pocitnice,8.0,118,1953,Approved,A bored and sheltered princess escapes her guardians and falls in love with an American newsman in Rome.,1500000,103197
0045793,Od tod do večnosti,7.6,118,1953,Approved,"At a U.S. Army base in 1941 Hawaii, a pugilistic private is cruelly punished for refusing to join his unit&apos;s boxing team. Meanwhile, his commanding officer&apos;s wife and top NCO are indulging in a torrid love affair.",1650000,36416
0046303,Shane,7.6,118,1953,Approved,An ex-gunfighter defends homesteaders in 1889 Wyoming.,3100000,21412
0046534,Planetarna bitka,7.0,87,1953,G,"A small town in California is attacked by Martians, beginning a worldwide invasion.",2000000,
0046359,Stalag 17,7.9,120,1953,Approved,"After two Americans are killed while escaping from a German P.O.W. camp in World War II, the barracks black marketeer, J.J. Sefton, is suspected of being an informer.",1661530,
0046247,The Robe,6.7,135,1953,Approved,"In the Roman province of Judea during the 1st century, Roman tribune Marcellus Gallio is ordered to crucify Jesus of Nazareth but is tormented by his guilty conscience afterwards.",5000000,36010866
0045591,Calamity Jane,7.2,101,1953,Approved,"The story of Calamity Jane, her saloon, and her romance with Wild Bill Hickok.",,9215
