id,naslov,leto,ocena,oznaka,cas,opis,cena,zasluzek
0080684,Star Wars: Episode V - The Empire Strikes Back,1980,8.7,PG,124,"After the Rebel Alliance are overpowered by the Empire, Luke Skywalker begins his Jedi training with Yoda, while his friends are pursued across the galaxy by Darth Vader and bounty hunter Boba Fett.",18000000,538375067
0081398,Pobesneli bik,1980,8.1,R,129,"The life of boxer Jake LaMotta, whose violence and temper that led him to the top in the ring destroyed his life outside of it.",18000000,23405198
0079579,Moskva slezam ne verit,1980,8.0,PG,150,"Three young provincial women come to Moscow in search of what people in all the capitals of the world are looking for - love, happiness and prosperity. Their destinies develop exactly as the character of each of the girls suggests.",900000,17023
0081283,Navadni ljudje,1980,7.7,R,124,"The accidental death of the older son of an affluent family deeply strains the relationships among the bitter mother, the good-natured father and the guilt-ridden younger son.",6000000,54766923
0080549,Coal Miner&#x27;s Daughter,1980,7.5,PG,124,"The fictionalized life of singer Loretta Lynn, a girl who rose from humble beginnings to become a country music star in the 1960s/70s.",,67182787
0081150,Melvin and Howard,1980,6.8,R,95,"The story of hard-luck Melvin E. Dummar, who claimed to have received a will naming him an heir to the fortune of Howard Hughes.",7000000,4309490
0080716,Fame,1980,6.6,R,134,A chronicle of the lives of several teenagers who attend a New York high school for students gifted in the performing arts.,,21203004
0082971,Lov za izgubljenim zakladom,1981,8.4,PG,115,"In 1936, archaeologist and adventurer Indiana Jones is hired by the U.S. government to find the Ark of the Covenant before the Nazis can obtain its awesome powers.",18000000,389925971
0082736,Mephisto,1981,7.7,Unrated,146,"In early-1930s Germany, a passionate stage actor faces a dilemma: renounce his apolitical stance and comply with the Reich&apos;s doctrine, or face oblivion. But, Faustian bargains never end well. What is the price of success?",,
0082846,Na zlatem ribniku,1981,7.6,PG,109,"Norman is a curmudgeon with an estranged relationship with his daughter Chelsea. At Golden Pond, he and his wife nevertheless agree to care for Billy, the son of Chelsea&apos;s new boyfriend, and a most unexpected relationship blooms.",7500000,119285810
0082010,An American Werewolf in London,1981,7.5,R,97,Two American college students on a walking tour of Britain are attacked by a werewolf that none of the locals will admit exists.,10000000,30800631
0082484,La guerre du feu,1981,7.3,R,100,This story takes place in prehistoric time when three tribesmen search for a new fire source.,12500000,20962615
0082979,Reds,1981,7.3,PG,195,"A radical American journalist becomes involved with the Communist revolution in Russia, and hopes to bring its spirit and idealism to the United States.",32000000,40382788
0082158,Ognjene kocije,1981,7.1,PG,125,"Two British track athletes, one a determined Jew and the other a devout Christian, are driven to win in the 1924 Olympics as they wrestle with issues of pride and conscience.",5500000,59303767
0082031,Arthur,1981,6.9,PG,97,"Alcoholic billionaire playboy Arthur Bach must marry a woman he does not love, or he will be cut off from his $750,000,000 fortune. But when Arthur falls in love with a poor waitress, he must decide if he wants to choose love or m...",7000000,95461682
