id,ime
0000434,Mark Hamill
0000148,Harrison Ford
0000402,Carrie Fisher
0001850,Billy Dee Williams
0000355,Anthony Daniels
0001190,David Prowse
0562679,Peter Mayhew
0048652,Kenny Baker
0000568,Frank Oz
0000027,Alec Guinness
0120116,Jeremy Bulloch
0391197,John Hollis
0701023,Jack Purvis
0916088,Des Webb
0720890,Clive Revill
0171829,Kenneth Colley
0002103,Julian Glover
0790410,Michael Sheard
0449984,Irvin Kershner
0000134,Robert De Niro
0001550,Cathy Moriarty
0000582,Joe Pesci
0898634,Frank Vincent
0170225,Nicholas Colasanto
0757854,Theresa Saldana
0002869,Mario Gallo
0012376,Frank Adonis
0095114,Joseph Bono
0867666,Frank Topham
0281349,Lori Anne Flax
0778737,Charles Scorsese
0242988,Don Dunphy
0360545,Bill Hanrahan
1631599,Rita Bennett
0160696,James V. Christy
0020300,Bernie Allen
0026718,Floyd Anderson
0000217,Martin Scorsese
0018079,Vera Alentova
0060692,Aleksey Batalov
0613655,Irina Muravyova
0268945,Aleksandr Fatyushin
0752925,Raisa Ryazanova
0810672,Boris Smorchkov
0890588,Yuriy Vasilev
0891347,Natalya Vavilova
0845867,Oleg Tabakov
0451355,Yevgeniya Khanayeva
0462496,Valentina Ushakova
0881554,Viktor Uralskiy
0299540,Zoya Fyodorova
0015253,Liya Akhedzhakova
0465450,Tatyana Konyukhova
0667394,Vladlen Paulus
0810550,Innokentiy Smoktunovskiy
0950881,Georgiy Yumatov
0579828,Vladimir Menshov
0000661,Donald Sutherland
0001546,Mary Tyler Moore
0002139,Judd Hirsch
0000459,Timothy Hutton
0001826,M. Emmet Walsh
0001527,Elizabeth McGovern
0001503,Dinah Manoff
0499791,Fredric Lehne
0797725,James Sikking
0388819,Basil Hoffman
0714793,Quinn K. Redeker
0182582,Mariclare Costello
0612778,Meg Mundy
0399169,Elizabeth Hubbard
0000284,Adam Baldwin
0926026,Richard Whiting
0230346,Scott Doebler
0228521,Carl DiTomasso
0000602,Robert Redford
0000651,Sissy Spacek
0000169,Tommy Lee Jones
0375629,Levon Helm
0101992,Phyllis Boyens
0026286,Bill Anderson Jr.
0225417,Foister Dickerson
0566685,Malla McCown
0566687,Pamela McCown
0759467,Kevin Salvilla
0761836,William Sanderson
0524282,Sissy Lucas
0666338,Pat Patterson
0912184,Brian Warf
2071142,Elizabeth Watson
0000350,Beverly D&#x27;Angelo
0253853,Bob Elkins
0360272,Bob Hannah
0875616,Ernest Tubb
0000776,Michael Apted
0494432,Paul Le Mat
0001673,Jason Robards
0156187,Elizabeth Cheshire
0005460,Mary Steenburgen
0852118,Chip Taylor
0241594,Melvin E. Dummar
0689488,Michael J. Pollard
0302113,Denise Galik
0096908,Gene Borkan
0123652,Lesley Margret Burton
0183256,Wendy Lee Couch
0047061,Marguerite Baierski
0454820,Janice King
0458710,Deborah Ann Klein
0859578,Theodora Thomas
0002108,Gloria Grahame
0399828,Elise Hudson
0725894,Robert Ridgely
0001129,Jonathan Demme
0058532,Eddie Barth
0001011,Irene Cara
0001087,Lee Curreri
0212847,Laura Dean
0289900,Antonia Franceschi
0301305,Boyd Gaines
0353831,Albert Hague
0400955,Tresa Hughes
0409481,Steve Inwood
0005204,Paul McCrane
0575198,Anne Meara
0581008,Joanna Merlin
0587944,Barry Miller
0600490,Jim Moody
0712833,Gene Anthony Ray
0853808,Maureen Teefy
0000739,Debbie Allen
0001938,Richard Belzer
0000570,Alan Parker
0000261,Karen Allen
0293550,Paul Freeman
0722636,John Rhys-Davies
0479951,Ronald Lacey
0001186,Denholm Elliott
0000547,Alfred Molina
0434759,Wolf Kahler
0001891,Anthony Higgins
0846004,Vic Tablian
0271514,Don Fellows
0393853,William Hootkins
0717810,Bill Reimbold
0814885,Fred Sorenson
0244190,Patrick Durkin
0780321,Matthew Scurfield
0915912,Malcolm Weaver
0129640,Sonny Caldinez
0000229,Steven Spielberg
0001970,Klaus Maria Brandauer
0126569,Ildikó Bánsági
0417370,Krystyna Janda
0388744,Rolf Hoppe
0190691,György Cserhalmi
0027984,Péter Andorai
0101823,Karin Boyd
0361950,Christine Harbort
0538217,Tamás Major
0457248,Ildikó Kishonti
0084450,Mária Bisztrai
0525763,Sándor Lukács
0126553,Ágnes Bánfalvy
0379796,Judit Hernádi
0475049,Vilmos Kun
0890221,Ida Versényi
0464694,István Komlós
0312654,Sári Gencsy
0843640,István Szabó
0000031,Katharine Hepburn
0000020,Henry Fonda
0000404,Jane Fonda
0571630,Doug McKeon
0001056,Dabney Coleman
0487140,William Lanteau
0753068,Christopher Rydell
0004949,Troy Garity
0041932,Mark Rydell
0622544,David Naughton
0000256,Jenny Agutter
0067643,Joe Belcher
0001162,Griffin Dunne
0774516,David Schofield
0323093,Brian Glover
0443343,Lila Kaye
0562201,Rik Mayall
0048917,Sean Baker
0752761,Paddy Ryan
0203586,Anne-Marie Davies
0940892,John Woodvine
0571743,Don McKillop
0447166,Paul Kember
0272817,Colin Fernandes
0608553,Albert Moses
0001345,Jim Henson
0000484,John Landis
0569239,Everett McGill
0000579,Ron Perlman
0252832,Nicholas Kadi
0001044,Rae Dawn Chong
0777229,Gary Schwartz
1874510,Naseer El-Kadi
0094958,Franck-Olivier Bonnet
0454338,Jean-Michel Kindt
0771391,Kurt Schiegl
0318633,Brian Gill
0280092,Terry Fitt
0143823,Bibi Caspari
0254590,Peter Elliott
0496690,Michelle Leduc
0492195,Robert Lavoie
0083641,Matt Birman
0070195,Christian Benard
0100205,Joy Boushel
0000269,Jean-Jacques Annaud
0000886,Warren Beatty
0000473,Diane Keaton
0001346,Edward Herrmann
0467085,Jerzy Kosinski
0000197,Jack Nicholson
0000649,Paul Sorvino
0822972,Maureen Stapleton
0182661,Nicolas Coster
0938052,Ian Wolfe
0522281,Bessie Love
0228912,MacIntyre Dixon
0823575,Pat Starr
0933359,Eleanor D. Wilson
0942642,Max Wright
0687321,George Plimpton
0228533,Harry Ditson
0192850,Leigh Curran
0002027,Ben Cross
0153182,Ian Charleson
0268297,Nicholas Farrell
0369814,Nigel Havers
0314776,Daniel Gerroll
0000453,Ian Holm
0000024,John Gielgud
0000755,Lindsay Anderson
0202638,Nigel Davenport
0132293,Cheryl Campbell
0000481,Alice Krige
0160550,Dennis Christopher
0001113,Brad Davis
0535861,Patrick Magee
0250718,Peter Egan
0734654,Struan Rodger
0947379,David Yelland
0070987,Yves Beneyton
0399853,Hugh Hudson
0001545,Dudley Moore
0591485,Liza Minnelli
0280242,Geraldine Fitzgerald
0251708,Jill Eikenberry
0254634,Stephen Elliott
0743874,Ted Ross
0551949,Barney Martin
0053856,Thomas Barbour
0211408,Anne DeSalvo
0055694,Marjorie Barnes
0262715,Dillon Evans
0178641,Maurice Copeland
0425474,Justine Johnston
0898728,Paul Vincent
0389934,Mary Alan Hokanson
