id_filma,id_igralca,vloga
0043014,0000034,I
0043014,0841797,I
0043014,0002233,I
0043014,0000697,R
0042192,0000012,I
0042192,0000879,I
0042192,0001695,I
0042192,0000581,R
0042876,0001536,I
0042876,0477553,I
0042876,0605270,I
0042876,0000041,R
0042546,0000071,I
0042546,0285922,I
0042546,0528621,I
0042546,0467396,R
0042646,0000039,I
0042646,0001289,I
0042646,0137999,I
0042646,0071682,R
0042646,0554249,R
0042276,0391062,I
0042276,0000034,I
0042276,0002024,I
0042276,0002030,R
0042367,0001207,I
0042367,0694580,I
0042367,0697733,I
0042367,0330456,R
0042832,0001847,I
0042832,0007222,I
0042832,0000895,I
0042832,0001415,R
0042200,0002149,I
0042200,0444476,I
0042200,0129894,I
0042200,0796645,R
0042200,0000923,R
0042393,0001893,I
0042393,0027566,I
0042393,0694631,I
0042393,0681635,R
0042949,0427543,I
0042949,0603682,I
0042949,0806058,I
0042949,0099589,R
0042949,0099592,R
0042650,0382217,I
0042650,1111265,I
0042650,1310185,I
0042650,0382217,R
0043581,0588922,I
0043581,0357090,I
0043581,0134255,R
0043581,0399524,R
0042592,0382548,I
0042592,0511249,I
0042592,0019282,R
0043050,0545298,I
0043050,0280904,R
0043050,0528032,R
0043050,0644289,R
0041130,7929802,I
0041130,0805344,I
0041130,0181490,R
0042518,0319497,I
0042518,0890186,R
0044081,0000046,I
0044081,0000008,I
0044081,0001375,I
0044081,0001415,R
0043265,0000007,I
0043265,0000031,I
0043265,0605923,I
0043265,0001379,R
0043278,0000037,I
0043278,0001989,I
0043278,0505157,I
0043278,0591486,R
0043924,0001050,I
0043924,0000072,I
0043924,0001859,I
0043924,0828419,R
0044829,0000027,I
0044829,0391361,I
0044829,0416228,I
0044829,0187769,R
0044207,0220566,I
0044207,0750640,I
0044207,0361048,I
0044207,0005789,R
0043599,0487292,I
0043599,0001955,I
0043599,0457025,I
0043599,0861703,R
0043633,0001078,I
0043633,0943837,I
0043633,0807252,I
0043633,0001008,R
0043334,0007342,I
0043334,0104507,I
0043334,0113700,I
0043334,0003593,R
0043839,0382548,I
0043839,0511249,I
0043839,0019282,R
0044218,0919327,I
0044218,0950288,R
0043135,0454874,I
0044706,0000011,I
0044706,0000038,I
0044706,0593775,I
0044706,0003593,R
0045061,0000078,I
0045061,0000058,I
0045061,0280178,I
0045061,0000406,R
0044672,0000071,I
0044672,0000032,I
0044672,0002149,I
0044672,0001124,R
0043686,0693560,I
0043686,0287637,I
0043686,0025523,I
0043686,0167496,R
0044391,0001805,I
0044391,0000018,I
0044391,0682074,I
0044391,0591486,R
0044837,0000122,I
0044837,0001954,I
0044837,0115558,I
0044837,0000122,R
0045296,0000008,I
0045296,0676492,I
0045296,0000063,I
0045296,0001415,R
0044926,0001207,I
0044926,0001248,I
0044926,0282530,I
0044926,0001379,R
0044509,0000044,I
0044509,0095804,I
0044509,0601930,I
0044509,0542702,R
0044446,0724732,I
0044446,0002897,I
0044446,0665902,I
0044446,0000180,R
0045333,0001333,I
0045333,0001983,I
0045333,0915536,I
0045333,0485943,R
0045039,0000075,I
0045039,0000074,I
0045039,0004496,I
0045039,0113284,R
0044958,0613120,I
0044958,0480596,I
0044958,0572235,R
0044157,4147806,I
0044157,0116897,I
0044157,0360253,I
0044157,0053484,R
0044157,0360253,R
0045314,0382548,I
0045314,0789313,R
0044836,0651474,R
0046250,0000060,I
0046250,0000030,I
0046250,0000734,I
0046250,0943758,R
