id_knjige,zanr
2767052,Young Adult
2767052,Dystopia
2767052,Fiction
2767052,Fantasy
2767052,Science Fiction
2767052,Romance
2767052,Adventure
2767052,Audiobook
2767052,Book Club
2767052,Teen
1885,Classics
1885,Romance
1885,Fiction
1885,Historical Fiction
1885,Historical
1885,Literature
1885,Audiobook
1885,Jane Austen
1885,Historical Romance
1885,Novels
2657,Classics
2657,Fiction
2657,Historical Fiction
2657,School
2657,Literature
2657,Young Adult
2657,Historical
2657,Read For School
2657,Novels
2657,Book Club
58613451,Fantasy
58613451,Fiction
58613451,Young Adult
58613451,Harry Potter
58613451,Magic
58613451,Audiobook
58613451,Childrens
58613451,Adventure
58613451,Middle Grade
58613451,Classics
19063,Historical Fiction
19063,Fiction
19063,Young Adult
19063,Classics
19063,Historical
19063,Book Club
19063,War
19063,World War II
19063,Holocaust
19063,Audiobook
41865,Fantasy
41865,Young Adult
41865,Romance
41865,Fiction
41865,Vampires
41865,Paranormal
41865,Paranormal Romance
41865,Supernatural
41865,Urban Fantasy
41865,Teen
170448,Classics
170448,Fiction
170448,Dystopia
170448,Fantasy
170448,School
170448,Politics
170448,Literature
170448,Science Fiction
170448,Novels
170448,Audiobook
30,Fantasy
30,Fiction
30,Classics
30,Adventure
30,Science Fiction Fantasy
30,Epic Fantasy
30,High Fantasy
30,Young Adult
30,Literature
30,Magic
11127,Fantasy
11127,Classics
11127,Fiction
11127,Young Adult
11127,Childrens
11127,Christian
11127,Adventure
11127,Middle Grade
11127,Christian Fiction
11127,Science Fiction Fantasy
11870085,Young Adult
11870085,Romance
11870085,Fiction
11870085,Contemporary
11870085,Realistic Fiction
11870085,Book Club
11870085,Coming Of Age
11870085,Teen
11870085,Drama
11870085,Novels
5297,Classics
5297,Fiction
5297,Horror
5297,Gothic
5297,Fantasy
5297,Literature
5297,Dark Academia
5297,Audiobook
5297,Novels
5297,Book Club
28187,Fantasy
28187,Young Adult
28187,Mythology
28187,Fiction
28187,Middle Grade
28187,Percy Jackson
28187,Adventure
28187,Greek Mythology
28187,Childrens
28187,Audiobook
6185,Classics
6185,Fiction
6185,Romance
6185,Gothic
6185,Historical Fiction
6185,Literature
6185,Audiobook
6185,Book Club
6185,Historical
6185,19th Century
370493,Childrens
370493,Classics
