id,ime
0000034,William Holden
0841797,Gloria Swanson
0002233,Erich von Stroheim
0000697,Billy Wilder
0000012,Bette Davis
0000879,Anne Baxter
0001695,George Sanders
0000581,Joseph L. Mankiewicz
0001536,Toshirô Mifune
0477553,Machiko Kyô
0605270,Masayuki Mori
0000041,Akira Kurosawa
0000071,James Stewart
0285922,Wallace Ford
0528621,William H. Lynn
0467396,Henry Koster
0000039,Deborah Kerr
0001289,Stewart Granger
0137999,Richard Carlson
0071682,Compton Bennett
0554249,Andrew Marton
0391062,Judy Holliday
0002024,Broderick Crawford
0002030,George Cukor
0001207,José Ferrer
0694580,Mala Powers
0697733,William Prince
0330456,Michael Gordon
0001847,Richard Widmark
0007222,Paul Douglas
0000895,Barbara Bel Geddes
0001415,Elia Kazan
0002149,Betty Hutton
0444476,Howard Keel
0129894,Louis Calhern
0796645,George Sidney
0000923,Busby Berkeley
0001893,John Archer
0027566,Warner Anderson
0694631,Tom Powers
0681635,Irving Pichel
0427543,Barry Jones
0603682,André Morell
0806058,Olive Sloane
0099589,John Boulting
0099592,Roy Boulting
0382217,Thor Heyerdahl
1111265,Herman Watzinger
1310185,Erik Hesselberg
0588922,Marvin Miller
0357090,Bob Holt
0134255,Robert Cannon
0399524,John Hubley
0382548,Winston Hibler
0511249,Mogens Lind
0019282,James Algar
0545298,Fredric March
0280904,Robert J. Flaherty
0528032,Richard Lyford
0644289,Curt Oertel
7929802,Helen Crlenkovich Morgan
0805344,Bill Slater
0181490,Ernest Corts
0319497,Art Gilmore
0890186,André de la Varre
0000046,Vivien Leigh
0000008,Marlon Brando
0001375,Kim Hunter
0000007,Humphrey Bogart
0000031,Katharine Hepburn
0605923,Robert Morley
0001379,John Huston
0000037,Gene Kelly
0001989,Leslie Caron
0505157,Oscar Levant
0591486,Vincente Minnelli
0001050,Montgomery Clift
0000072,Elizabeth Taylor
0001859,Shelley Winters
0828419,George Stevens
0000027,Alec Guinness
0391361,Stanley Holloway
0416228,Sidney James
0187769,Charles Crichton
0220566,Richard Derr
0750640,Barbara Rush
0361048,Peter Hansen
0005789,Rudolph Maté
0487292,Mario Lanza
0001955,Ann Blyth
0457025,Dorothy Kirsten
0861703,Richard Thorpe
0001078,Bing Crosby
0943837,Jane Wyman
0807252,Alexis Smith
0001008,Frank Capra
0007342,Lee Aaker
0104507,Neville Brand
0113700,Helen Brown
0003593,Fred Zinnemann
0919327,Dwight Weist
0950288,Robert Youngson
0454874,Joe King
0000011,Gary Cooper
0000038,Grace Kelly
0593775,Thomas Mitchell
0000078,John Wayne
0000058,Maureen O&#x27;Hara
0280178,Barry Fitzgerald
0000406,John Ford
0000032,Charlton Heston
0001124,Cecil B. DeMille
0693560,Georges Poujouly
0287637,Brigitte Fossey
0025523,Amédée
0167496,René Clément
0001805,Lana Turner
0000018,Kirk Douglas
0682074,Walter Pidgeon
0000122,Charles Chaplin
0001954,Claire Bloom
0115558,Nigel Bruce
0676492,Jean Peters
0000063,Anthony Quinn
0001248,Zsa Zsa Gabor
0282530,Suzanne Flon
0000044,Burt Lancaster
0095804,Shirley Booth
0601930,Terry Moore
0542702,Daniel Mann
0724732,Ralph Richardson
0002897,Ann Todd
0665902,Nigel Patrick
0000180,David Lean
0001333,Susan Hayward
0001983,Rory Calhoun
0915536,David Wayne
0485943,Walter Lang
0000075,Spencer Tracy
0000074,Gene Tierney
0004496,Van Johnson
0113284,Clarence Brown
0613120,Grant Munro
0480596,Jean Paul Ladouceur
0572235,Norman McLaren
4147806,Francoise Brun-Cottan
0116897,Arthur Q. Bryan
0360253,William Hanna
0053484,Joseph Barbera
0789313,Ben Sharpsteen
0651474,Jean Oser
0000060,Gregory Peck
0000030,Audrey Hepburn
0000734,Eddie Albert
0943758,William Wyler
0000042,Alan Ladd
0000795,Jean Arthur
0001336,Van Heflin
0058001,Gene Barry
0732378,Ann Robinson
