id_filma,zanr
0043014,drama
0043014,film-noir
0042192,drama
0042876,crime
0042876,drama
0042876,mystery
0042546,comedy
0042546,drama
0042546,fantasy
0042650,documentary
0042276,comedy
0042276,drama
0042276,romance
0042367,adventure
0042367,drama
0042367,romance
0042832,crime
0042832,drama
0042832,film-noir
0042949,drama
0042949,thriller
0042200,comedy
0042200,musical
0042200,romance
0042646,action
0042646,adventure
0042646,romance
0043050,documentary
0042393,adventure
0042393,drama
0042393,sci-fi
0044081,drama
0043924,drama
0043924,romance
0043265,adventure
0043265,drama
0043265,romance
0044829,comedy
0044829,crime
0043278,drama
0043278,musical
0043278,romance
0044207,action
0044207,sci-fi
0044207,thriller
0043599,biography
0043599,drama
0043599,music
0043633,comedy
0043633,musical
0043633,romance
0044706,drama
0044706,thriller
0044706,western
0044837,drama
0044837,music
0044837,romance
0043686,comedy
0043686,drama
0043686,war
0044391,drama
0044391,romance
0045061,comedy
0045061,drama
0045061,romance
0044509,drama
0044509,romance
0045296,biography
0045296,drama
0045296,history
0044926,biography
0044926,drama
0044926,music
0044446,adventure
0044446,drama
0044446,romance
0045333,biography
0045333,drama
0045333,music
0044672,drama
0044672,family
0044672,romance
0045039,adventure
0045039,drama
0045039,history
0046250,comedy
0046250,romance
0046359,comedy
0046359,drama
0046359,war
0046303,drama
0046303,western
0045793,drama
0045793,romance
0045793,war
0046008,family
0046008,documentary
0046000,drama
0046000,musical
0046000,romance
0045943,drama
0045943,history
0045591,musical
0045591,romance
0045591,western
0045935,drama
0045935,history
0046006,drama
0046006,family
0046534,action
0046534,sci-fi
0046534,thriller
0046435,drama
0046435,history
0046435,romance
0046247,drama
0046247,history
0046247,romance
0045592,comedy
0045592,musical
0045592,romance
0044009,documentary
0047296,crime
0047296,drama
0047296,thriller
0047528,drama
0047437,comedy
0047437,drama
0047437,romance
0047444,action
0047444,adventure
0047444,biography
0047472,musical
0047472,romance
0047472,western
0047030,biography
0047030,drama
0047030,music
0046672,adventure
0046672,drama
0046672,family
0046874,drama
0046874,music
0047642,documentary
0047642,family
0048157,documentary
0048157,biography
0046754,crime
0046754,drama
0046754,mystery
0046808,adventure
0046808,drama
0046808,western
0046806,drama
0046806,romance
0046806,war
0047086,action
0047086,adventure
0047086,drama
0047580,drama
0047580,romance
0048028,drama
0048356,drama
0048356,romance
0048380,comedy
0048380,drama
0048380,war
0048728,mystery
0048728,romance
0048728,thriller
0048191,biography
0048191,drama
0048191,music
0048317,biography
0048317,drama
0048317,music
0048445,comedy
0048445,drama
0048445,musical
0048491,drama
0048491,romance
0048563,comedy
0048563,drama
0048563,romance
0048210,biography
0048210,drama
0048210,music
0048316,biography
0048316,drama
0048316,romance
0049833,adventure
0049833,drama
0049833,family
0049261,drama
0049261,western
0049778,biography
0049778,drama
0049778,sport
0049777,comedy
0049777,romance
0049470,drama
0049470,thriller
0049408,biography
0049408,drama
0049408,musical
0049966,drama
0049456,biography
0049456,drama
0048947,biography
0048947,drama
0048947,history
0049518,documentary
0049518,adventure
0048960,adventure
0048960,comedy
0048960,family
0049030,drama
0049030,family
0050212,adventure
0050212,drama
0050212,war
0050783,drama
0050356,action
0050356,adventure
0050356,drama
0051077,drama
0051077,mystery
0050933,drama
0050933,romance
0050569,biography
0050569,drama
0050569,musical
0050306,comedy
0050306,romance
0050631,comedy
0050631,musical
0050109,documentary
0050109,biography
0050109,history
0051411,drama
0051411,romance
0051411,western
0050706,comedy
0051525,crime
0051525,drama
0051758,biography
0051758,crime
0051758,drama
0053226,drama
0053226,romance
0052182,drama
0052182,romance
0052027,adventure
0052027,drama
0052225,musical
0052225,romance
0052225,war
0051658,comedy
0051658,musical
0051658,romance
0052427,family
0052427,fantasy
0052427,musical
0052389,documentary
0052389,family
0053291,comedy
0053291,music
0053291,romance
0052618,adventure
0052618,drama
0053268,documentary
0053172,comedy
0053172,romance
0052738,biography
0052738,drama
0052738,family
0053146,drama
0053146,musical
0053146,romance
0053182,drama
0053182,musical
0053182,romance
0052896,comedy
0052896,drama
0053604,comedy
0053604,drama
0053604,romance
0053779,comedy
0053779,drama
0053976,drama
0054331,adventure
0054331,biography
0054331,drama
0053793,drama
0054749,drama
0054749,war
0054387,adventure
0054387,romance
0054387,sci-fi
0054195,comedy
0054195,drama
0054195,family
0054198,comedy
0054198,drama
0054198,romance
0054326,drama
0053580,adventure
0053580,drama
0053580,history
0053804,action
0053804,drama
0053804,war
0053622,drama
0053622,romance
0053810,comedy
0053810,drama
0053810,romance
0054993,family
0054993,documentary
0054324,biography
0054324,drama
0054324,music
0055031,drama
0055031,war
0054997,drama
0054997,sport
0055499,drama
0055913,comedy
0055913,drama
0055913,romance
0055471,drama
0055471,romance
0054698,comedy
0054698,drama
0054698,romance
0055614,crime
0055614,drama
