id,ime
0000034,William Holden
0841797,Gloria Swanson
0002233,Erich von Stroheim
0647970,Nancy Olson
0163939,Fred Clark
0332221,Lloyd Gough
0916131,Jack Webb
0267916,Franklyn Farnum
0086627,Larry J. Blake
0206742,Charles Dayton
0001124,Cecil B. DeMille
0394407,Hedda Hopper
0000036,Buster Keaton
0632160,Anna Q. Nilsson
0912478,H.B. Warner
0263143,Ray Evans
0515254,Jay Livingston
0017674,Fred Aldrich
0000697,Billy Wilder
0000012,Bette Davis
0000879,Anne Baxter
0001695,George Sanders
0002141,Celeste Holm
0581282,Gary Merrill
0549280,Hugh Marlowe
0711855,Gregory Ratoff
0060845,Barbara Bates
0000054,Marilyn Monroe
0728812,Thelma Ritter
0358899,Walter Hampden
0835836,Randy Stuart
0384154,Craig Hill
0364988,Leland Harris
0924487,Barbara White
0279469,Eddie Fisher
0700422,William Pullen
0835140,Claude Stroud
0000581,Joseph L. Mankiewicz
0001536,Toshirô Mifune
0477553,Machiko Kyô
0605270,Masayuki Mori
0793766,Takashi Shimura
0156928,Minoru Chiaki
0879918,Kichijirô Ueda
0393352,Noriko Honma
0441961,Daisuke Katô
0000041,Akira Kurosawa
0000071,James Stewart
0285922,Wallace Ford
0528621,William H. Lynn
0395067,Victoria Horne
0924964,Jesse White
0445523,Cecil Kellaway
0236866,Charles Drake
0235627,Peggy Dow
0401449,Josephine Hull
0117194,Nana Bryant
0590013,Grace Mills
0079681,Clem Bevans
6172450,Harvey
0180679,Gino Corrado
0193354,Jack Curtis
0601287,Ida Moore
0915519,Billy Wayne
0040090,Gertrude Astor
0467396,Henry Koster
0382217,Thor Heyerdahl
1111265,Herman Watzinger
1310185,Erik Hesselberg
0369363,Knut Haugland
1110608,Torstein Raaby
0200174,Bengt Danielsson
0336121,Ben Grauer
1311650,Gerte Wald
0391062,Judy Holliday
0002024,Broderick Crawford
0820643,Howard St. John
0653239,Frank Otto
0646915,Larry Oliver
0113072,Barbara Brown
0722438,Grandon Rhodes
0137393,Claire Carleton
0104585,Chet Brandenburg
0133802,Charles Cane
0248304,Helen Eby-Rock
0537167,Mike Mahoney
0548001,Paul Marion
0563090,William Mays
0605899,John Morley
0661146,David Pardoll
0802093,Bhogwan Singh
0002030,George Cukor
0001207,José Ferrer
0694580,Mala Powers
0697733,William Prince
0138885,Morris Carnovsky
0163404,Ralph Clanton
0180987,Lloyd Corrigan
0267808,Virginia Farmer
0057422,Edgar Barrier
0893900,Elena Verdugo
0147088,Albert Cavens
0086478,Arthur Blake
0065975,Don Beddoe
0375887,Percy Helton
0160417,Virginia Christine
0710250,Gilman Rankin
0888349,Philip Van Zandt
0801612,Eric Sinclair
0043285,Richard Avonde
0330456,Michael Gordon
0001847,Richard Widmark
0007222,Paul Douglas
0000895,Barbara Bel Geddes
0001588,Jack Palance
0609216,Zero Mostel
0728349,Dan Riss
0177320,Tommy Cook
0099859,Wilson Bourg Jr.
0113110,Beverly C. Brown
0153083,Lewis Charles
0183047,Herman Cottman
4153915,John David
0212985,William A. Dean
0234126,Robert Dorsen
0251246,George Ehmig
0288637,H. Waller Fowler Jr.
0338987,Darwin Greenfield
0396177,Paul Hostetler
0001415,Elia Kazan
0427543,Barry Jones
0603682,André Morell
0806058,Olive Sloane
0541261,Sheila Manahan
0189177,Hugh Cross
0382995,Joan Hickson
0010580,Ronald Adam
0628638,Marie Ney
0325649,Wyndham Goldie
0914170,Russell Waters
0090796,Martin Boddey
0020524,Frederick Allen
0534658,Victor Maddern
0444584,Geoffrey Keen
0611089,Merrill Mueller
0000722,Joss Ackland
0026754,Gerald Andersen
0026876,Jean Anderson
0099589,John Boulting
0099592,Roy Boulting
0002149,Betty Hutton
0444476,Howard Keel
0129894,Louis Calhern
0619798,J. Carrol Naish
0036427,Edward Arnold
0943978,Keenan Wynn
0893463,Benay Venuta
0839069,Clinton Sundberg
