id_igralca,id_filma,vloga
0000034,0043014,I
0841797,0043014,I
0002233,0043014,I
0647970,0043014,I
0163939,0043014,I
0332221,0043014,I
0916131,0043014,I
0267916,0043014,I
0086627,0043014,I
0206742,0043014,I
0001124,0043014,I
0394407,0043014,I
0000036,0043014,I
0632160,0043014,I
0912478,0043014,I
0263143,0043014,I
0515254,0043014,I
0017674,0043014,I
0000697,0043014,R
0000012,0042192,I
0000879,0042192,I
0001695,0042192,I
0002141,0042192,I
0581282,0042192,I
0549280,0042192,I
0711855,0042192,I
0060845,0042192,I
0000054,0042192,I
0728812,0042192,I
0358899,0042192,I
0835836,0042192,I
0384154,0042192,I
0364988,0042192,I
0924487,0042192,I
0279469,0042192,I
0700422,0042192,I
0835140,0042192,I
0000581,0042192,R
0001536,0042876,I
0477553,0042876,I
0605270,0042876,I
0793766,0042876,I
0156928,0042876,I
0879918,0042876,I
0393352,0042876,I
0441961,0042876,I
0000041,0042876,R
0000071,0042546,I
0285922,0042546,I
0528621,0042546,I
0395067,0042546,I
0924964,0042546,I
0445523,0042546,I
0236866,0042546,I
0235627,0042546,I
0401449,0042546,I
0117194,0042546,I
0590013,0042546,I
0079681,0042546,I
6172450,0042546,I
0180679,0042546,I
0193354,0042546,I
0601287,0042546,I
0915519,0042546,I
0040090,0042546,I
0467396,0042546,R
0382217,0042650,I
1111265,0042650,I
1310185,0042650,I
0369363,0042650,I
1110608,0042650,I
0200174,0042650,I
0336121,0042650,I
1311650,0042650,I
0382217,0042650,R
0391062,0042276,I
0000034,0042276,I
0002024,0042276,I
0820643,0042276,I
0653239,0042276,I
0646915,0042276,I
0113072,0042276,I
0722438,0042276,I
0137393,0042276,I
0104585,0042276,I
0133802,0042276,I
0248304,0042276,I
0537167,0042276,I
0548001,0042276,I
0563090,0042276,I
0605899,0042276,I
0661146,0042276,I
0802093,0042276,I
0002030,0042276,R
0001207,0042367,I
0694580,0042367,I
0697733,0042367,I
0138885,0042367,I
0163404,0042367,I
0180987,0042367,I
0267808,0042367,I
0057422,0042367,I
0893900,0042367,I
0147088,0042367,I
0086478,0042367,I
0065975,0042367,I
0375887,0042367,I
0160417,0042367,I
0710250,0042367,I
0888349,0042367,I
0801612,0042367,I
0043285,0042367,I
0330456,0042367,R
0001847,0042832,I
0007222,0042832,I
0000895,0042832,I
0001588,0042832,I
0609216,0042832,I
0728349,0042832,I
0177320,0042832,I
0099859,0042832,I
0113110,0042832,I
0153083,0042832,I
0183047,0042832,I
4153915,0042832,I
0212985,0042832,I
0234126,0042832,I
0251246,0042832,I
0288637,0042832,I
0338987,0042832,I
0396177,0042832,I
0001415,0042832,R
0427543,0042949,I
0603682,0042949,I
0806058,0042949,I
0541261,0042949,I
0189177,0042949,I
0382995,0042949,I
0010580,0042949,I
0628638,0042949,I
0325649,0042949,I
0914170,0042949,I
0090796,0042949,I
0020524,0042949,I
0534658,0042949,I
0444584,0042949,I
0611089,0042949,I
0000722,0042949,I
0026754,0042949,I
0026876,0042949,I
0099589,0042949,R
0099592,0042949,R
0002149,0042200,I
0444476,0042200,I
0129894,0042200,I
0619798,0042200,I
0036427,0042200,I
0943978,0042200,I
0893463,0042200,I
0839069,0042200,I
0007961,0042200,I
0035147,0042200,I
0047446,0042200,I
0068234,0042200,I
0073590,0042200,I
0077799,0042200,I
6267412,0042200,I
0111012,0042200,I
0113504,0042200,I
0124820,0042200,I
0796645,0042200,R
0000923,0042200,R
0000039,0042646,I
0001289,0042646,I
0137999,0042646,I
0351947,0042646,I
0319557,0042646,I
0454134,0042646,I
0802826,0042646,I
0782800,0042646,I
0063326,0042646,I
0025601,0042646,I
0052308,0042646,I
